Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Total
1971,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1972,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1973,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1974,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1975,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1976,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1977,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1978,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1979,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1980,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1981,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1982,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1983,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1984,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1985,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1986,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1987,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1988,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1989,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1990,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1991,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1992,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1993,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1994,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1995,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1996,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1997,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1998,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1999,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2000,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2001,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2002,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2003,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2004,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2005,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2006,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2007,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2008,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2009,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2010,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
2011,Persons,Mortality,Ovarian cancer,,,,,,,,,,,,,,,,,,,,0
1968,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1969,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1970,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1971,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1972,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1973,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1974,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1975,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1976,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1977,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1978,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1979,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1980,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1981,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1982,Male,Incidence,Pancreatic cancer,0,0,0,1,0,0,2,7,15,23,49,88,94,116,126,93,55,27,1,697
1983,Male,Incidence,Pancreatic cancer,0,0,0,0,1,1,0,5,12,8,37,79,104,103,110,106,48,16,0,630
1984,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,2,3,8,19,39,71,95,109,118,105,49,29,1,649
1985,Male,Incidence,Pancreatic cancer,0,0,0,0,1,0,1,5,12,13,34,61,113,110,110,102,63,31,0,656
1986,Male,Incidence,Pancreatic cancer,0,0,0,0,0,0,4,5,21,22,34,68,94,117,133,112,58,39,1,708
1987,Male,Incidence,Pancreatic cancer,0,0,0,0,0,2,0,4,12,24,40,63,92,109,130,103,56,31,0,666
1988,Male,Incidence,Pancreatic cancer,0,0,0,1,0,2,2,8,19,21,36,59,97,99,124,119,58,37,0,682
1989,Male,Incidence,Pancreatic cancer,0,0,1,0,0,0,3,6,17,18,41,62,97,144,136,109,69,34,0,737
1990,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,1,9,8,25,40,55,118,138,116,103,68,58,0,740
1991,Male,Incidence,Pancreatic cancer,0,0,0,0,1,1,2,6,13,23,36,58,106,117,131,110,81,49,0,734
1992,Male,Incidence,Pancreatic cancer,0,0,0,0,1,1,0,4,11,28,36,67,102,121,139,117,86,46,0,759
1993,Male,Incidence,Pancreatic cancer,0,0,0,1,1,0,3,10,7,20,35,69,83,151,154,111,83,45,0,773
1994,Male,Incidence,Pancreatic cancer,0,0,0,0,0,0,2,11,14,29,48,75,115,131,162,118,80,60,1,846
1995,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,4,4,14,26,44,59,91,123,154,120,104,53,0,797
1996,Male,Incidence,Pancreatic cancer,0,0,0,0,0,2,3,5,10,28,43,67,92,136,174,118,122,47,0,847
1997,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,5,3,14,38,44,71,81,140,162,140,87,61,0,847
1998,Male,Incidence,Pancreatic cancer,0,0,1,0,1,0,2,6,14,35,61,67,93,143,159,129,91,81,0,883
1999,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,3,6,18,27,59,85,104,131,174,148,109,73,0,938
2000,Male,Incidence,Pancreatic cancer,0,0,0,0,1,2,3,6,16,37,66,74,87,149,161,166,99,81,0,948
2001,Male,Incidence,Pancreatic cancer,0,0,0,0,0,2,2,9,11,33,64,103,99,141,151,171,109,81,0,976
2002,Male,Incidence,Pancreatic cancer,0,0,0,0,0,0,2,6,15,41,55,76,95,129,168,161,127,84,0,959
2003,Male,Incidence,Pancreatic cancer,0,0,0,0,0,2,2,7,13,35,63,98,133,135,195,184,134,84,0,1085
2004,Male,Incidence,Pancreatic cancer,0,0,0,0,1,0,4,8,17,34,57,96,126,144,163,161,114,90,0,1015
2005,Male,Incidence,Pancreatic cancer,0,0,0,0,0,2,5,4,15,45,63,115,139,154,179,182,147,116,0,1166
2006,Male,Incidence,Pancreatic cancer,0,0,0,0,0,0,4,5,13,40,79,108,147,174,177,174,162,126,0,1209
2007,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,5,7,18,48,78,122,193,187,190,210,191,142,0,1392
2008,Male,Incidence,Pancreatic cancer,0,0,0,0,1,1,2,5,16,41,70,109,141,191,196,200,192,129,0,1294
2009,Male,Incidence,Pancreatic cancer,0,0,0,0,0,1,5,12,14,47,80,106,172,176,186,186,194,147,0,1326
2010,Male,Incidence,Pancreatic cancer,0,1,0,0,0,5,7,7,20,40,67,117,179,199,229,214,169,157,0,1411
2011,Male,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1968,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1969,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1970,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1971,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1972,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1973,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1974,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1975,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1976,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1977,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1978,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1979,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1980,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1981,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1982,Female,Incidence,Pancreatic cancer,0,0,0,0,0,1,0,2,4,9,21,47,58,88,84,90,54,47,1,506
1983,Female,Incidence,Pancreatic cancer,0,0,0,0,0,0,4,5,3,9,26,34,59,92,93,99,61,59,1,545
1984,Female,Incidence,Pancreatic cancer,0,0,0,0,1,1,0,6,9,12,31,37,66,92,96,104,77,56,0,588
1985,Female,Incidence,Pancreatic cancer,0,0,0,0,0,0,0,1,2,9,15,53,58,87,116,102,80,62,0,585
1986,Female,Incidence,Pancreatic cancer,0,0,0,0,0,1,2,6,10,14,24,47,86,84,129,90,81,79,0,653
1987,Female,Incidence,Pancreatic cancer,0,0,0,1,0,1,2,5,7,15,28,35,57,88,116,111,85,78,1,630
1988,Female,Incidence,Pancreatic cancer,0,0,1,0,0,0,1,3,8,15,19,45,72,97,127,100,89,78,1,656
1989,Female,Incidence,Pancreatic cancer,0,0,0,0,0,3,2,5,3,10,25,45,57,99,115,108,91,79,0,642
1990,Female,Incidence,Pancreatic cancer,0,0,0,0,3,2,1,2,6,10,17,51,69,90,98,120,98,95,0,662
1991,Female,Incidence,Pancreatic cancer,0,0,0,1,0,0,2,5,14,19,24,44,65,95,140,111,112,80,0,712
1992,Female,Incidence,Pancreatic cancer,0,0,0,1,1,1,3,7,9,13,20,49,61,100,130,120,122,104,0,741
1993,Female,Incidence,Pancreatic cancer,0,1,0,1,1,1,2,6,10,25,20,40,63,109,121,139,123,96,0,758
1994,Female,Incidence,Pancreatic cancer,0,1,0,1,0,1,2,4,14,16,22,25,67,102,135,130,114,111,0,745
1995,Female,Incidence,Pancreatic cancer,0,0,0,0,0,3,2,5,9,15,29,30,58,93,146,137,151,128,0,806
1996,Female,Incidence,Pancreatic cancer,0,0,0,1,0,1,1,7,7,15,25,39,56,106,123,170,144,131,0,826
1997,Female,Incidence,Pancreatic cancer,0,0,0,2,1,0,2,4,8,16,38,51,69,113,120,158,141,142,0,865
1998,Female,Incidence,Pancreatic cancer,0,0,0,0,2,1,0,3,9,16,34,49,82,106,153,174,140,141,0,910
1999,Female,Incidence,Pancreatic cancer,0,0,0,0,0,0,4,6,10,13,27,39,79,91,170,173,134,150,0,896
2000,Female,Incidence,Pancreatic cancer,0,0,0,0,0,1,3,2,14,19,30,52,60,97,149,186,167,166,0,946
2001,Female,Incidence,Pancreatic cancer,1,0,0,1,0,2,1,10,14,18,40,51,76,92,105,177,147,190,0,925
2002,Female,Incidence,Pancreatic cancer,0,0,0,1,0,1,1,6,20,25,37,68,75,124,126,156,138,158,0,936
2003,Female,Incidence,Pancreatic cancer,0,0,0,0,0,1,1,8,10,25,37,55,85,121,117,188,169,186,0,1003
2004,Female,Incidence,Pancreatic cancer,0,0,0,1,0,1,0,5,16,24,36,67,105,125,162,191,196,170,0,1099
2005,Female,Incidence,Pancreatic cancer,0,0,0,1,2,2,2,3,14,20,39,65,79,115,135,186,202,224,0,1089
2006,Female,Incidence,Pancreatic cancer,0,0,0,0,0,0,1,1,13,27,33,74,105,125,147,175,210,207,0,1118
2007,Female,Incidence,Pancreatic cancer,0,0,1,2,0,2,5,6,18,20,38,83,97,129,152,202,200,260,0,1215
2008,Female,Incidence,Pancreatic cancer,0,0,0,0,0,1,6,8,15,24,47,74,81,130,130,207,193,246,0,1162
2009,Female,Incidence,Pancreatic cancer,0,1,0,1,0,1,2,9,16,26,58,74,128,135,162,202,191,233,0,1239
2010,Female,Incidence,Pancreatic cancer,0,0,0,0,1,1,2,6,16,23,48,80,113,140,170,184,231,238,0,1253
2011,Female,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1968,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1969,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1970,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1971,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1972,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1973,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1974,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1975,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1976,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1977,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1978,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1979,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1980,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1981,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1982,Persons,Incidence,Pancreatic cancer,0,0,0,1,0,1,2,9,19,32,70,135,152,204,210,183,109,74,2,1203
1983,Persons,Incidence,Pancreatic cancer,0,0,0,0,1,1,4,10,15,17,63,113,163,195,203,205,109,75,1,1175
1984,Persons,Incidence,Pancreatic cancer,0,0,0,0,1,2,2,9,17,31,70,108,161,201,214,209,126,85,1,1237
1985,Persons,Incidence,Pancreatic cancer,0,0,0,0,1,0,1,6,14,22,49,114,171,197,226,204,143,93,0,1241
1986,Persons,Incidence,Pancreatic cancer,0,0,0,0,0,1,6,11,31,36,58,115,180,201,262,202,139,118,1,1361
1987,Persons,Incidence,Pancreatic cancer,0,0,0,1,0,3,2,9,19,39,68,98,149,197,246,214,141,109,1,1296
1988,Persons,Incidence,Pancreatic cancer,0,0,1,1,0,2,3,11,27,36,55,104,169,196,251,219,147,115,1,1338
1989,Persons,Incidence,Pancreatic cancer,0,0,1,0,0,3,5,11,20,28,66,107,154,243,251,217,160,113,0,1379
1990,Persons,Incidence,Pancreatic cancer,0,0,0,0,3,3,2,11,14,35,57,106,187,228,214,223,166,153,0,1402
1991,Persons,Incidence,Pancreatic cancer,0,0,0,1,1,1,4,11,27,42,60,102,171,212,271,221,193,129,0,1446
1992,Persons,Incidence,Pancreatic cancer,0,0,0,1,2,2,3,11,20,41,56,116,163,221,269,237,208,150,0,1500
1993,Persons,Incidence,Pancreatic cancer,0,1,0,2,2,1,5,16,17,45,55,109,146,260,275,250,206,141,0,1531
1994,Persons,Incidence,Pancreatic cancer,0,1,0,1,0,1,4,15,28,45,70,100,182,233,297,248,194,171,1,1591
1995,Persons,Incidence,Pancreatic cancer,0,0,0,0,0,4,6,9,23,41,73,89,149,216,300,257,255,181,0,1603
1996,Persons,Incidence,Pancreatic cancer,0,0,0,1,0,3,4,12,17,43,68,106,148,242,297,288,266,178,0,1673
1997,Persons,Incidence,Pancreatic cancer,0,0,0,2,1,1,7,7,22,54,82,122,150,253,282,298,228,203,0,1712
1998,Persons,Incidence,Pancreatic cancer,0,0,1,0,3,1,2,9,23,51,95,116,175,249,312,303,231,222,0,1793
1999,Persons,Incidence,Pancreatic cancer,0,0,0,0,0,1,7,12,28,40,86,124,183,222,344,321,243,223,0,1834
2000,Persons,Incidence,Pancreatic cancer,0,0,0,0,1,3,6,8,30,56,96,126,147,246,310,352,266,247,0,1894
2001,Persons,Incidence,Pancreatic cancer,1,0,0,1,0,4,3,19,25,51,104,154,175,233,256,348,256,271,0,1901
2002,Persons,Incidence,Pancreatic cancer,0,0,0,1,0,1,3,12,35,66,92,144,170,253,294,317,265,242,0,1895
2003,Persons,Incidence,Pancreatic cancer,0,0,0,0,0,3,3,15,23,60,100,153,218,256,312,372,303,270,0,2088
2004,Persons,Incidence,Pancreatic cancer,0,0,0,1,1,1,4,13,33,58,93,163,231,269,325,352,310,260,0,2114
2005,Persons,Incidence,Pancreatic cancer,0,0,0,1,2,4,7,7,29,65,102,180,218,269,314,368,349,340,0,2255
2006,Persons,Incidence,Pancreatic cancer,0,0,0,0,0,0,5,6,26,67,112,182,252,299,324,349,372,333,0,2327
2007,Persons,Incidence,Pancreatic cancer,0,0,1,2,0,3,10,13,36,68,116,205,290,316,342,412,391,402,0,2607
2008,Persons,Incidence,Pancreatic cancer,0,0,0,0,1,2,8,13,31,65,117,183,222,321,326,407,385,375,0,2456
2009,Persons,Incidence,Pancreatic cancer,0,1,0,1,0,2,7,21,30,73,138,181,300,312,348,388,385,380,0,2567
2010,Persons,Incidence,Pancreatic cancer,0,1,0,0,1,6,9,13,36,63,115,196,292,338,399,398,400,395,0,2662
2011,Persons,Incidence,Pancreatic cancer,,,,,,,,,,,,,,,,,,,,0
1968,Male,Mortality,Pancreatic cancer,0,0,0,1,2,1,3,6,11,16,27,50,58,83,78,64,45,21,0,466
1969,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,1,6,22,36,57,71,80,75,57,48,28,0,482
1970,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,4,4,9,19,41,52,73,91,80,53,40,31,0,497
1971,Male,Mortality,Pancreatic cancer,0,0,1,0,1,0,2,2,9,30,36,55,87,98,73,69,29,29,0,521
1972,Male,Mortality,Pancreatic cancer,0,0,0,0,1,1,0,5,13,21,35,61,77,89,70,67,41,20,0,501
1973,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,1,12,19,39,67,88,104,83,67,44,25,0,552
1974,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,4,12,23,54,58,88,90,69,57,51,33,0,540
1975,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,5,9,13,51,62,79,95,102,58,41,36,1,554
1976,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,6,10,20,52,65,94,99,94,69,44,34,0,587
1977,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,6,8,18,49,79,94,93,106,67,48,28,0,598
1978,Male,Mortality,Pancreatic cancer,0,0,0,0,0,5,2,4,12,24,41,68,96,97,103,78,52,26,0,608
1979,Male,Mortality,Pancreatic cancer,0,0,0,0,1,1,2,8,8,21,53,74,79,103,102,80,54,29,0,615
1980,Male,Mortality,Pancreatic cancer,0,0,0,0,1,1,2,3,10,24,52,79,90,113,102,81,56,28,0,642
1981,Male,Mortality,Pancreatic cancer,0,0,0,0,1,1,0,6,18,20,46,79,74,93,98,85,50,29,0,600
1982,Male,Mortality,Pancreatic cancer,0,0,0,0,0,2,1,6,13,22,39,86,96,113,114,91,60,28,0,671
1983,Male,Mortality,Pancreatic cancer,0,0,0,1,0,1,0,1,8,10,39,77,102,101,117,101,55,23,0,636
1984,Male,Mortality,Pancreatic cancer,0,0,0,0,0,2,0,4,11,14,48,68,104,96,115,117,52,25,0,656
1985,Male,Mortality,Pancreatic cancer,0,0,0,0,0,2,2,4,11,16,32,68,99,109,111,98,59,36,0,647
1986,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,1,4,13,18,33,57,98,117,124,118,56,45,0,685
1987,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,3,10,17,34,73,102,110,118,95,68,31,0,662
1988,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,1,3,19,21,31,50,91,106,121,120,67,38,0,669
1989,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,7,10,17,45,64,93,129,131,125,69,41,0,734
1990,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,3,6,13,22,34,56,102,133,115,105,66,53,0,709
1991,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,3,10,20,24,59,103,121,128,117,70,55,0,711
1992,Male,Mortality,Pancreatic cancer,0,0,0,0,2,1,1,6,7,28,32,62,101,112,131,112,81,49,1,726
1993,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,5,9,17,39,63,92,151,140,101,82,52,0,754
1994,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,3,8,13,17,38,60,95,128,165,118,81,63,0,790
1995,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,1,19,26,44,61,91,138,131,107,104,54,0,776
1996,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,3,8,19,36,55,76,127,152,136,117,47,0,779
1997,Male,Mortality,Pancreatic cancer,0,0,0,0,0,2,2,5,11,19,33,56,72,134,151,138,97,52,0,772
1998,Male,Mortality,Pancreatic cancer,0,0,0,0,0,2,3,3,14,35,43,74,79,121,147,130,83,79,0,813
1999,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,8,11,27,50,61,87,116,168,143,94,101,0,869
2000,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,8,10,22,57,74,77,143,142,155,109,73,0,872
2001,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,2,1,7,37,45,78,103,131,161,164,131,85,0,946
2002,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,9,13,32,47,90,97,119,167,159,130,95,0,959
2003,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,3,10,27,51,92,104,126,160,159,126,83,0,942
2004,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,3,12,22,64,95,128,124,175,176,123,90,0,1013
2005,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,1,3,17,34,48,86,126,119,157,141,121,110,0,964
2006,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,3,3,10,30,56,89,113,141,157,169,161,132,0,1065
2007,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,7,15,44,66,107,147,181,170,187,163,143,0,1232
2008,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,7,12,26,71,86,158,168,164,193,170,131,0,1186
2009,Male,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,4,7,27,59,83,137,159,168,182,173,148,0,1148
2010,Male,Mortality,Pancreatic cancer,0,0,0,0,0,0,5,10,11,43,55,92,114,196,200,164,184,151,0,1225
2011,Male,Mortality,Pancreatic cancer,0,1,0,0,0,1,5,6,12,27,58,105,149,181,164,181,174,154,0,1218
1968,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,1,4,11,20,28,38,42,59,61,37,30,0,331
1969,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,0,3,14,16,39,49,40,60,77,61,28,0,387
1970,Female,Mortality,Pancreatic cancer,0,0,1,0,0,0,1,2,7,13,23,34,50,46,53,59,53,35,0,377
1971,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,2,2,11,14,30,39,56,58,61,57,29,0,360
1972,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,4,6,15,25,38,39,55,59,53,43,36,0,373
1973,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,1,6,18,17,28,48,55,66,62,53,49,0,404
1974,Female,Mortality,Pancreatic cancer,0,0,0,0,2,0,1,1,4,9,24,31,46,63,75,57,57,46,0,416
1975,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,0,3,9,20,47,62,62,69,56,59,49,0,436
1976,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,1,3,13,30,24,65,76,66,84,66,45,0,474
1977,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,2,3,6,16,24,30,57,62,59,74,81,40,0,455
1978,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,3,7,12,18,34,65,64,64,59,61,55,0,443
1979,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,6,5,9,27,50,41,72,75,71,66,45,0,468
1980,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,2,6,15,21,41,55,78,88,87,73,57,0,524
1981,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,1,3,7,19,39,39,69,73,80,51,56,0,438
1982,Female,Mortality,Pancreatic cancer,0,0,0,1,0,0,0,1,5,6,32,45,58,83,86,74,57,49,0,497
1983,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,3,4,8,23,27,56,75,99,93,63,53,0,505
1984,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,7,8,8,26,38,62,77,94,92,80,68,0,562
1985,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,4,1,11,18,41,52,89,103,105,85,64,0,573
1986,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,2,3,9,12,52,71,73,122,98,72,87,0,602
1987,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,1,6,8,10,24,32,66,101,131,109,75,89,0,653
1988,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,5,5,12,20,40,66,74,97,100,90,80,0,590
1989,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,0,3,5,10,15,41,60,101,118,142,89,86,0,670
1990,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,1,4,1,8,27,56,66,96,98,107,100,92,0,657
1991,Female,Mortality,Pancreatic cancer,0,0,0,0,0,3,1,4,10,15,18,36,71,69,113,111,125,90,0,666
1992,Female,Mortality,Pancreatic cancer,0,0,0,0,1,0,1,3,9,10,21,44,60,107,125,119,111,108,0,719
1993,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,6,9,14,19,37,64,103,129,121,116,104,0,723
1994,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,4,7,16,12,36,46,97,123,135,102,111,0,690
1995,Female,Mortality,Pancreatic cancer,0,0,0,0,0,2,2,7,7,17,25,20,57,98,118,138,132,134,0,757
1996,Female,Mortality,Pancreatic cancer,0,0,0,0,1,1,0,3,5,12,23,31,53,88,130,171,154,150,0,822
1997,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,1,9,5,14,27,35,69,95,122,155,139,159,0,830
1998,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,0,2,8,16,31,41,66,90,130,157,126,137,0,805
1999,Female,Mortality,Pancreatic cancer,0,0,0,0,0,1,2,4,6,10,26,32,78,88,149,156,143,145,0,840
2000,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,3,1,6,12,28,41,54,85,151,190,147,159,0,877
2001,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0,2,3,7,18,28,44,53,84,118,169,157,182,0,865
